habitat,id1,id2,value
stellar_sea_lion_rookeries,109096.0,111096.0,1
stellar_sea_lion_rookeries,100590.0,111096.0,1
stellar_sea_lion_rookeries,44208.0,111096.0,1
stellar_sea_lion_rookeries,113366.0,111096.0,1
stellar_sea_lion_rookeries,90811.0,111096.0,1
stellar_sea_lion_rookeries,116274.0,111096.0,1
stellar_sea_lion_rookeries,100247.0,111096.0,1
stellar_sea_lion_rookeries,33985.0,111096.0,1
stellar_sea_lion_rookeries,18512.0,111096.0,1
stellar_sea_lion_rookeries,53853.0,71566.0,1
stellar_sea_lion_rookeries,115026.0,71566.0,1
stellar_sea_lion_rookeries,78790.0,71566.0,1
stellar_sea_lion_rookeries,12771.0,71566.0,1
stellar_sea_lion_rookeries,35479.0,71566.0,1
stellar_sea_lion_rookeries,4260.0,71566.0,1
stellar_sea_lion_rookeries,95913.0,71566.0,1
stellar_sea_lion_rookeries,62904.0,71566.0,1
stellar_sea_lion_rookeries,107553.0,71566.0,1
stellar_sea_lion_rookeries,110731.0,71566.0,1
stellar_sea_lion_rookeries,1571.0,71566.0,1
stellar_sea_lion_rookeries,70275.0,71566.0,1
stellar_sea_lion_rookeries,56296.0,71566.0,1
stellar_sea_lion_rookeries,27312.0,71566.0,1
stellar_sea_lion_rookeries,32068.0,71566.0,1
stellar_sea_lion_rookeries,52433.0,71566.0,1
stellar_sea_lion_rookeries,102699.0,71566.0,1
stellar_sea_lion_rookeries,100978.0,71566.0,1
stellar_sea_lion_rookeries,87864.0,71566.0,1
stellar_sea_lion_rookeries,21210.0,71566.0,1
stellar_sea_lion_rookeries,13751.0,71566.0,1
stellar_sea_lion_rookeries,46019.0,71566.0,1
stellar_sea_lion_rookeries,104110.0,71566.0,1
stellar_sea_lion_rookeries,117602.0,71566.0,1
stellar_sea_lion_rookeries,48170.0,71566.0,1
stellar_sea_lion_rookeries,111177.0,71566.0,1
stellar_sea_lion_rookeries,38254.0,71566.0,1
stellar_sea_lion_rookeries,57378.0,71566.0,1
stellar_sea_lion_rookeries,43206.0,71566.0,1
stellar_sea_lion_rookeries,69440.0,71566.0,1
stellar_sea_lion_rookeries,6700.0,71566.0,1
stellar_sea_lion_rookeries,57838.0,71566.0,1
stellar_sea_lion_rookeries,85684.0,71566.0,1
stellar_sea_lion_rookeries,47101.0,71566.0,1
stellar_sea_lion_rookeries,111764.0,71566.0,1
stellar_sea_lion_rookeries,117491.0,71566.0,1
stellar_sea_lion_rookeries,22738.0,71566.0,1
stellar_sea_lion_rookeries,52336.0,71566.0,1
stellar_sea_lion_rookeries,54202.0,71566.0,1
stellar_sea_lion_rookeries,103424.0,71566.0,1
stellar_sea_lion_rookeries,107824.0,71566.0,1
stellar_sea_lion_rookeries,33303.0,71566.0,1
stellar_sea_lion_rookeries,5374.0,71566.0,1
stellar_sea_lion_rookeries,18060.0,71566.0,1
stellar_sea_lion_rookeries,18300.0,71566.0,1
stellar_sea_lion_rookeries,92350.0,71566.0,1
stellar_sea_lion_rookeries,109576.0,71566.0,1
stellar_sea_lion_rookeries,89964.0,71566.0,1
stellar_sea_lion_rookeries,3798.0,71566.0,1
stellar_sea_lion_rookeries,67900.0,71566.0,1
stellar_sea_lion_rookeries,35251.0,71566.0,1
stellar_sea_lion_rookeries,97510.0,71566.0,1
stellar_sea_lion_rookeries,45293.0,71566.0,1
stellar_sea_lion_rookeries,27178.0,71566.0,1
stellar_sea_lion_rookeries,70734.0,71566.0,1
stellar_sea_lion_rookeries,62311.0,71566.0,1
stellar_sea_lion_rookeries,394.0,71566.0,1
stellar_sea_lion_rookeries,109327.0,71566.0,1
stellar_sea_lion_rookeries,18062.0,71566.0,1
stellar_sea_lion_rookeries,102003.0,71566.0,1
stellar_sea_lion_rookeries,48285.0,71566.0,1
stellar_sea_lion_rookeries,16439.0,71566.0,1
stellar_sea_lion_rookeries,95795.0,71566.0,1
stellar_sea_lion_rookeries,10882.0,71566.0,1
stellar_sea_lion_rookeries,59934.0,71566.0,1
stellar_sea_lion_rookeries,52207.0,71566.0,1
stellar_sea_lion_rookeries,93240.0,71566.0,1
stellar_sea_lion_rookeries,80861.0,71566.0,1
stellar_sea_lion_rookeries,96714.0,71566.0,1
stellar_sea_lion_rookeries,112398.0,111096.0,1
stellar_sea_lion_rookeries,115478.0,111096.0,1
stellar_sea_lion_rookeries,9533.0,111096.0,1
stellar_sea_lion_rookeries,73214.0,111096.0,1
stellar_sea_lion_rookeries,23459.0,111096.0,1
stellar_sea_lion_rookeries,92556.0,111096.0,1
stellar_sea_lion_rookeries,67533.0,111096.0,1
stellar_sea_lion_rookeries,114675.0,111096.0,1
stellar_sea_lion_rookeries,85659.0,111096.0,1
stellar_sea_lion_rookeries,89707.0,111096.0,1
stellar_sea_lion_rookeries,52316.0,111096.0,1
stellar_sea_lion_rookeries,65946.0,111096.0,1
stellar_sea_lion_rookeries,32156.0,111096.0,1
stellar_sea_lion_rookeries,85005.0,111096.0,1
stellar_sea_lion_rookeries,76639.0,111096.0,1
stellar_sea_lion_rookeries,8338.0,111096.0,1
stellar_sea_lion_rookeries,101503.0,111096.0,1
stellar_sea_lion_rookeries,113387.0,71566.0,1
stellar_sea_lion_rookeries,4528.0,71566.0,1
stellar_sea_lion_rookeries,3602.0,71566.0,1
stellar_sea_lion_rookeries,16772.0,71566.0,1
stellar_sea_lion_rookeries,91732.0,71566.0,1
stellar_sea_lion_rookeries,17259.0,71566.0,1
stellar_sea_lion_rookeries,95810.0,71566.0,1
stellar_sea_lion_rookeries,97890.0,71566.0,1
stellar_sea_lion_rookeries,56898.0,71566.0,1
stellar_sea_lion_rookeries,90334.0,71566.0,1
stellar_sea_lion_rookeries,48009.0,71566.0,1
stellar_sea_lion_rookeries,40264.0,71566.0,1
stellar_sea_lion_rookeries,23670.0,71566.0,1
stellar_sea_lion_rookeries,113848.0,71566.0,1
stellar_sea_lion_rookeries,9555.0,71566.0,1
stellar_sea_lion_rookeries,28617.0,71566.0,1
stellar_sea_lion_rookeries,24890.0,71566.0,1
stellar_sea_lion_rookeries,118954.0,111096.0,1
stellar_sea_lion_rookeries,12642.0,111096.0,1
stellar_sea_lion_rookeries,76998.0,111096.0,1
stellar_sea_lion_rookeries,35077.0,111096.0,1
stellar_sea_lion_rookeries,84043.0,111096.0,1
stellar_sea_lion_rookeries,111064.0,111096.0,1
stellar_sea_lion_rookeries,21308.0,111096.0,1
stellar_sea_lion_rookeries,13974.0,111096.0,1
stellar_sea_lion_rookeries,100476.0,111096.0,1
stellar_sea_lion_rookeries,45493.0,111096.0,1
stellar_sea_lion_rookeries,25099.0,111096.0,1
stellar_sea_lion_rookeries,86372.0,111096.0,1
stellar_sea_lion_rookeries,115920.0,111096.0,1
stellar_sea_lion_rookeries,26347.0,111096.0,1
stellar_sea_lion_rookeries,98930.0,111096.0,1
stellar_sea_lion_rookeries,3224.0,111096.0,1
stellar_sea_lion_rookeries,69190.0,71566.0,1
stellar_sea_lion_rookeries,6919.0,71566.0,1
stellar_sea_lion_rookeries,36294.0,71566.0,1
stellar_sea_lion_rookeries,35705.0,71566.0,1
stellar_sea_lion_rookeries,118871.0,71566.0,1
stellar_sea_lion_rookeries,111303.0,71566.0,1
stellar_sea_lion_rookeries,2503.0,71566.0,1
stellar_sea_lion_rookeries,81260.0,71566.0,1
stellar_sea_lion_rookeries,18785.0,71566.0,1
stellar_sea_lion_rookeries,75440.0,71566.0,1
stellar_sea_lion_rookeries,95485.0,71566.0,1
stellar_sea_lion_rookeries,118073.0,71566.0,1
stellar_sea_lion_rookeries,110244.0,71566.0,1
stellar_sea_lion_rookeries,37526.0,71566.0,1
stellar_sea_lion_rookeries,118989.0,71566.0,1
stellar_sea_lion_rookeries,9710.0,71566.0,1
stellar_sea_lion_rookeries,16995.0,71566.0,1
stellar_sea_lion_rookeries,41659.0,111096.0,1
stellar_sea_lion_rookeries,31270.0,111096.0,1
stellar_sea_lion_rookeries,53947.0,111096.0,1
stellar_sea_lion_rookeries,70248.0,111096.0,1
stellar_sea_lion_rookeries,26809.0,111096.0,1
stellar_sea_lion_rookeries,99618.0,111096.0,1
stellar_sea_lion_rookeries,83315.0,111096.0,1
stellar_sea_lion_rookeries,26926.0,111096.0,1
stellar_sea_lion_rookeries,41444.0,111096.0,1
stellar_sea_lion_rookeries,6080.0,111096.0,1
stellar_sea_lion_rookeries,61906.0,111096.0,1
stellar_sea_lion_rookeries,74216.0,111096.0,1
stellar_sea_lion_rookeries,30331.0,111096.0,1
stellar_sea_lion_rookeries,72659.0,111096.0,1
stellar_sea_lion_rookeries,38225.0,111096.0,1
stellar_sea_lion_rookeries,25492.0,111096.0,1
stellar_sea_lion_rookeries,19628.0,111096.0,1
stellar_sea_lion_rookeries,35230.0,71566.0,1
stellar_sea_lion_rookeries,22158.0,71566.0,1
stellar_sea_lion_rookeries,80622.0,71566.0,1
stellar_sea_lion_rookeries,115177.0,71566.0,1
stellar_sea_lion_rookeries,55271.0,71566.0,1
stellar_sea_lion_rookeries,9436.0,71566.0,1
stellar_sea_lion_rookeries,7772.0,71566.0,1
stellar_sea_lion_rookeries,70389.0,71566.0,1
stellar_sea_lion_rookeries,69561.0,71566.0,1
stellar_sea_lion_rookeries,3492.0,71566.0,1
stellar_sea_lion_rookeries,6587.0,71566.0,1
stellar_sea_lion_rookeries,48402.0,71566.0,1
stellar_sea_lion_rookeries,108281.0,71566.0,1
stellar_sea_lion_rookeries,65627.0,71566.0,1
stellar_sea_lion_rookeries,34231.0,71566.0,1
stellar_sea_lion_rookeries,18302.0,71566.0,1
stellar_sea_lion_rookeries,104340.0,71566.0,1
stellar_sea_lion_rookeries,88797.0,111096.0,1
stellar_sea_lion_rookeries,83751.0,111096.0,1
stellar_sea_lion_rookeries,64109.0,111096.0,1
stellar_sea_lion_rookeries,54783.0,111096.0,1
stellar_sea_lion_rookeries,73099.0,111096.0,1
stellar_sea_lion_rookeries,29995.0,111096.0,1
stellar_sea_lion_rookeries,98097.0,111096.0,1
stellar_sea_lion_rookeries,117673.0,111096.0,1
stellar_sea_lion_rookeries,37230.0,111096.0,1
stellar_sea_lion_rookeries,43280.0,111096.0,1
stellar_sea_lion_rookeries,43401.0,111096.0,1
stellar_sea_lion_rookeries,77114.0,111096.0,1
stellar_sea_lion_rookeries,20309.0,111096.0,1
stellar_sea_lion_rookeries,91848.0,111096.0,1
stellar_sea_lion_rookeries,8440.0,111096.0,1
stellar_sea_lion_rookeries,3660.0,111096.0,1
stellar_sea_lion_rookeries,77859.0,71566.0,1
stellar_sea_lion_rookeries,41469.0,71566.0,1
stellar_sea_lion_rookeries,1693.0,71566.0,1
stellar_sea_lion_rookeries,52811.0,71566.0,1
stellar_sea_lion_rookeries,51963.0,71566.0,1
stellar_sea_lion_rookeries,60971.0,71566.0,1
stellar_sea_lion_rookeries,38360.0,71566.0,1
stellar_sea_lion_rookeries,88579.0,71566.0,1
stellar_sea_lion_rookeries,36421.0,71566.0,1
stellar_sea_lion_rookeries,93705.0,71566.0,1
stellar_sea_lion_rookeries,67236.0,71566.0,1
stellar_sea_lion_rookeries,27905.0,71566.0,1
stellar_sea_lion_rookeries,91753.0,71566.0,1
stellar_sea_lion_rookeries,53497.0,71566.0,1
stellar_sea_lion_rookeries,38365.0,71566.0,1
stellar_sea_lion_rookeries,113016.0,71566.0,1
stellar_sea_lion_rookeries,59574.0,111096.0,1
stellar_sea_lion_rookeries,1329.0,111096.0,1
stellar_sea_lion_rookeries,56531.0,111096.0,1
stellar_sea_lion_rookeries,42780.0,111096.0,1
stellar_sea_lion_rookeries,13622.0,111096.0,1
stellar_sea_lion_rookeries,119548.0,111096.0,1
stellar_sea_lion_rookeries,117182.0,111096.0,1
stellar_sea_lion_rookeries,56759.0,111096.0,1
stellar_sea_lion_rookeries,51600.0,111096.0,1
stellar_sea_lion_rookeries,21664.0,111096.0,1
stellar_sea_lion_rookeries,19827.0,111096.0,1
stellar_sea_lion_rookeries,26466.0,111096.0,1
stellar_sea_lion_rookeries,33141.0,111096.0,1
stellar_sea_lion_rookeries,28146.0,111096.0,1
stellar_sea_lion_rookeries,66404.0,111096.0,1
stellar_sea_lion_rookeries,34996.0,71566.0,1
stellar_sea_lion_rookeries,13247.0,71566.0,1
stellar_sea_lion_rookeries,48279.0,71566.0,1
stellar_sea_lion_rookeries,21561.0,71566.0,1
stellar_sea_lion_rookeries,119127.0,71566.0,1
stellar_sea_lion_rookeries,10129.0,71566.0,1
stellar_sea_lion_rookeries,32067.0,71566.0,1
stellar_sea_lion_rookeries,86275.0,71566.0,1
stellar_sea_lion_rookeries,79507.0,71566.0,1
stellar_sea_lion_rookeries,76781.0,71566.0,1
stellar_sea_lion_rookeries,71541.0,71566.0,1
stellar_sea_lion_rookeries,31572.0,71566.0,1
stellar_sea_lion_rookeries,68473.0,71566.0,1
stellar_sea_lion_rookeries,62906.0,71566.0,1
stellar_sea_lion_rookeries,104922.0,111096.0,1
stellar_sea_lion_rookeries,50960.0,111096.0,1
stellar_sea_lion_rookeries,106517.0,111096.0,1
stellar_sea_lion_rookeries,3580.0,111096.0,1
stellar_sea_lion_rookeries,114054.0,111096.0,1
stellar_sea_lion_rookeries,60471.0,111096.0,1
stellar_sea_lion_rookeries,54516.0,111096.0,1
stellar_sea_lion_rookeries,78553.0,111096.0,1
stellar_sea_lion_rookeries,27404.0,111096.0,1
stellar_sea_lion_rookeries,21422.0,111096.0,1
stellar_sea_lion_rookeries,23461.0,111096.0,1
stellar_sea_lion_rookeries,67786.0,111096.0,1
stellar_sea_lion_rookeries,5847.0,71566.0,1
stellar_sea_lion_rookeries,27041.0,71566.0,1
stellar_sea_lion_rookeries,115397.0,71566.0,1
stellar_sea_lion_rookeries,6458.0,71566.0,1
stellar_sea_lion_rookeries,116271.0,71566.0,1
stellar_sea_lion_rookeries,114074.0,71566.0,1
stellar_sea_lion_rookeries,66653.0,71566.0,1
stellar_sea_lion_rookeries,16888.0,71566.0,1
stellar_sea_lion_rookeries,104724.0,71566.0,1
stellar_sea_lion_rookeries,90068.0,71566.0,1
stellar_sea_lion_rookeries,89374.0,71566.0,1
stellar_sea_lion_rookeries,110733.0,71566.0,1
stellar_sea_lion_rookeries,22481.0,111096.0,1
stellar_sea_lion_rookeries,118175.0,111096.0,1
stellar_sea_lion_rookeries,72553.0,111096.0,1
stellar_sea_lion_rookeries,28492.0,111096.0,1
stellar_sea_lion_rookeries,67305.0,111096.0,1
stellar_sea_lion_rookeries,9190.0,111096.0,1
stellar_sea_lion_rookeries,38558.0,111096.0,1
stellar_sea_lion_rookeries,74526.0,71566.0,1
stellar_sea_lion_rookeries,19153.0,71566.0,1
stellar_sea_lion_rookeries,20217.0,71566.0,1
stellar_sea_lion_rookeries,50639.0,71566.0,1
stellar_sea_lion_rookeries,11618.0,71566.0,1
stellar_sea_lion_rookeries,90072.0,71566.0,1
stellar_sea_lion_rookeries,96507.0,71566.0,1
stellar_sea_lion_rookeries,33775.0,111096.0,1
stellar_sea_lion_rookeries,67649.0,111096.0,1
stellar_sea_lion_rookeries,55137.0,111096.0,1
stellar_sea_lion_rookeries,10107.0,111096.0,1
stellar_sea_lion_rookeries,91978.0,111096.0,1
stellar_sea_lion_rookeries,98825.0,111096.0,1
stellar_sea_lion_rookeries,42682.0,71566.0,1
stellar_sea_lion_rookeries,2753.0,71566.0,1
stellar_sea_lion_rookeries,91267.0,71566.0,1
stellar_sea_lion_rookeries,19410.0,71566.0,1
stellar_sea_lion_rookeries,57293.0,71566.0,1
stellar_sea_lion_rookeries,58084.0,71566.0,1
stellar_sea_lion_rookeries,93681.0,111096.0,1
stellar_sea_lion_rookeries,37739.0,111096.0,1
stellar_sea_lion_rookeries,40960.0,111096.0,1
stellar_sea_lion_rookeries,11698.0,111096.0,1
stellar_sea_lion_rookeries,74822.0,111096.0,1
stellar_sea_lion_rookeries,109220.0,71566.0,1
stellar_sea_lion_rookeries,86491.0,71566.0,1
stellar_sea_lion_rookeries,65166.0,71566.0,1
